

                  |¯¯¯|            |¯¯¯¯¯¯¯¯¯¯¯¯¯|  |¯¯¯¯¯¯¯¯¯¯¯¯¯|  |¯¯¯¯¯¯¯¯¯¯¯¯¯|
                  |   |            |             |  |             |  |             |
                  |   |            |   |¯¯¯¯¯|   |  |   |¯¯¯¯¯¯¯¯¯   |    |¯¯¯¯¯¯¯¯ 
                  |   |            |   |     |   |  |   |            |    |________ 
                  |   |            |   |     |   |  |   |   |¯¯¯¯¯|  |             |
                  |   |            |   |     |   |  |   |   |_    |  |_________    |
                  |   |            |   |     |   |  |   |     |   |            |   |
                  |   |_________   |   |_____|   |  |   |_____|   |   _________|   |
                  |             |  |             |  |             |  |             |
                  |_____________|  |_____________|  |_____________|  |_____________|

==============================================================================================================
  DATE     |   DAY   |     TIME     |   TYPE  |                           MESSAGE
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012626.CSV IS ADDED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012618.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012618.CSV IS ADDED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012624.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012624.CSV IS ADDED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012630.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012630.CSV IS ADDED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012625.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012625.CSV IS ADDED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012619.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012619.CSV IS ADDED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012621.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012621.CSV IS ADDED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012620.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012620.CSV IS ADDED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012622.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012622.CSV IS ADDED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012623.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012623.CSV IS ADDED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012628.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012628.CSV IS ADDED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012629.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012629.CSV IS ADDED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012617.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012617.CSV IS ADDED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012616.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012616.CSV IS ADDED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:19   |   PAS   |   FILE NAME CHECKER PROCESS COMPLETED
04/23/21   |   FRI   |   20:29:19   |   END   |   FILE NAME VALIDATION MODULE COMPLETED
--------------------------------------------------------------------------------------------------------------

                                             DATA VALIDATION
--------------------------------------------------------------------------------------------------------------
04/23/21   |   FRI   |   20:29:19   |   BEG   |   DATA VALIDATION MODULE INITIALIZED
--------------------------------------------------------------------------------------------------------------
04/23/21   |   FRI   |   20:29:19   |   INF   |   RELATED DATA IS LOADED FROM SOURCE OF TRUTH FOR VALIDATION
04/23/21   |   FRI   |   20:29:19   |   CHK   |   LOADING SOURCE OF TRUTH PROCESS INITIALIZED
04/23/21   |   FRI   |   20:29:19   |   PAS   |   LOADING SOURCE OF TRUTH PROCESS COMPLETED
04/23/21   |   FRI   |   20:29:19   |   CHK   |   DATA CHECKING PROCESS INITIALIZED
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012627.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012627.CSV STAYED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012626.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012626.CSV STAYED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012618.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012618.CSV STAYED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012624.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012624.CSV STAYED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012630.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012630.CSV STAYED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012625.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012625.CSV STAYED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012619.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:19   |   INF   |   HOUSE_06022021_012619.CSV STAYED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:20   |   INF   |   HOUSE_06022021_012621.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:20   |   INF   |   HOUSE_06022021_012621.CSV STAYED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:20   |   INF   |   HOUSE_06022021_012620.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:20   |   INF   |   HOUSE_06022021_012620.CSV STAYED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:20   |   INF   |   HOUSE_06022021_012622.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:20   |   INF   |   HOUSE_06022021_012622.CSV STAYED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:20   |   INF   |   HOUSE_06022021_012623.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:20   |   INF   |   HOUSE_06022021_012623.CSV STAYED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:20   |   INF   |   HOUSE_06022021_012628.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:20   |   INF   |   HOUSE_06022021_012628.CSV STAYED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:20   |   INF   |   HOUSE_06022021_012629.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:20   |   INF   |   HOUSE_06022021_012629.CSV STAYED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:21   |   INF   |   HOUSE_06022021_012617.CSV SATISFILED ALL VALIDATIONS
04/23/21   |   FRI   |   20:29:21   |   INF   |   HOUSE_06022021_012617.CSV STAYED IN GOOD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:21   |   INF   |   HOUSE_06022021_012616.CSV SHIFTED TO BAD DATA DIRECTORY
04/23/21   |   FRI   |   20:29:21   |   INF   |   HOUSE_06022021_012616.CSV REJECTED BECAUSE OF ROWS
04/23/21   |   FRI   |   20:29:21   |   PAS   |   DATA CHECKING PROCESS COMPLETED
04/23/21   |   FRI   |   20:29:21   |   END   |   DATA VALIDATION MODULE COMPLETED
--------------------------------------------------------------------------------------------------------------

                                             DATABASE
--------------------------------------------------------------------------------------------------------------
04/23/21   |   FRI   |   20:29:21   |   BEG   |   DATABASE INSERTION MODULE INITIALIZED
--------------------------------------------------------------------------------------------------------------
04/23/21   |   FRI   |   20:29:21   |   INF   |   RELATED DATA IS LOADED FROM SOURCE OF TRUTH
04/23/21   |   FRI   |   20:29:21   |   CHK   |   DATABASE SETUP CONNECTIVITY PROCESS INITIALIZED
04/23/21   |   FRI   |   20:29:21   |   INF   |   SYSTEM CONNECTED TO DATABASE
04/23/21   |   FRI   |   20:29:21   |   INF   |   CURSOR FOR DATABASE IS INITIALIZED
04/23/21   |   FRI   |   20:29:21   |   INF   |   CHECKING PREVIOUS AVAILABLITY OF DATABASE
04/23/21   |   FRI   |   20:29:21   |   INF   |   PREVIOUS DATABASE DETECTED
04/23/21   |   FRI   |   20:29:21   |   INF   |   DELETING PREVIOUS DATABASE
04/23/21   |   FRI   |   20:29:21   |   CHK   |   CREATING A DATABASE NAMED HOUSE
04/23/21   |   FRI   |   20:29:21   |   PAS   |   DATABASE CREATION PROCESS COMPLETED
04/23/21   |   FRI   |   20:29:21   |   CHK   |   TABLE CREATION PROCESS INITIALIZED
04/23/21   |   FRI   |   20:29:21   |   INF   |   CREATED DATABASE CONNECTED
04/23/21   |   FRI   |   20:29:21   |   CHK   |   PREVIOUS AVAILABLITY OF TABLE
04/23/21   |   FRI   |   20:29:21   |   CHK   |   TABLE CREATION INITIALIZED WITH NAME HOUSE_TABLE
04/23/21   |   FRI   |   20:29:21   |   PAS   |   TABLE CREATED PROCESS SUCCESSFULLY
04/23/21   |   FRI   |   20:29:21   |   CHK   |   INSERTION OF DATA INTO DATABASE PROCESS INITIALIZED
04/23/21   |   FRI   |   20:29:22   |   INF   |   HOUSE_06022021_012627.CSV IS ADDED INTO DATABASE
04/23/21   |   FRI   |   20:29:22   |   INF   |   HOUSE_06022021_012626.CSV IS ADDED INTO DATABASE
04/23/21   |   FRI   |   20:29:23   |   INF   |   HOUSE_06022021_012618.CSV IS ADDED INTO DATABASE
04/23/21   |   FRI   |   20:29:23   |   INF   |   HOUSE_06022021_012624.CSV IS ADDED INTO DATABASE
04/23/21   |   FRI   |   20:29:24   |   INF   |   HOUSE_06022021_012630.CSV IS ADDED INTO DATABASE
04/23/21   |   FRI   |   20:29:24   |   INF   |   HOUSE_06022021_012625.CSV IS ADDED INTO DATABASE
04/23/21   |   FRI   |   20:29:24   |   INF   |   HOUSE_06022021_012619.CSV IS ADDED INTO DATABASE
04/23/21   |   FRI   |   20:29:25   |   INF   |   HOUSE_06022021_012621.CSV IS ADDED INTO DATABASE
04/23/21   |   FRI   |   20:29:25   |   INF   |   HOUSE_06022021_012620.CSV IS ADDED INTO DATABASE
04/23/21   |   FRI   |   20:29:26   |   INF   |   HOUSE_06022021_012622.CSV IS ADDED INTO DATABASE
04/23/21   |   FRI   |   20:29:26   |   INF   |   HOUSE_06022021_012623.CSV IS ADDED INTO DATABASE
04/23/21   |   FRI   |   20:29:26   |   INF   |   HOUSE_06022021_012628.CSV IS ADDED INTO DATABASE
04/23/21   |   FRI   |   20:29:27   |   INF   |   HOUSE_06022021_012629.CSV IS ADDED INTO DATABASE
04/23/21   |   FRI   |   20:29:27   |   INF   |   HOUSE_06022021_012617.CSV IS ADDED INTO DATABASE
04/23/21   |   FRI   |   20:29:27   |   PAS   |   INSERTION OF DATA ON DATABASE IS COMPLETED
04/23/21   |   FRI   |   20:29:27   |   CHK   |   EXPORTING TO .CSV INITIALIZED
04/23/21   |   FRI   |   20:29:27   |   INF   |   FETCHING ALL DATA FROM DATABASE
04/23/21   |   FRI   |   20:29:27   |   INF   |   CREATING A DIRECTORY FOR STORING DATA
04/23/21   |   FRI   |   20:29:27   |   INF   |   EXPORTING TO .CSV COMPLETED
04/23/21   |   FRI   |   20:29:27   |   PAS   |   INSERTING INTO DATABASE PROCESS COMPLETED
04/23/21   |   FRI   |   20:29:27   |   END   |   DATABASE INSERTION COMPLETED SUCCESSFULLY
--------------------------------------------------------------------------------------------------------------

                                             EDA AND TRANSFORMATION
--------------------------------------------------------------------------------------------------------------
04/23/21   |   FRI   |   20:29:27   |   BEG   |   EDA AND TRANSFORMATION MODULE INITIALIZED
--------------------------------------------------------------------------------------------------------------
04/23/21   |   FRI   |   20:29:27   |   CHK   |   GENERATING FILES PROCESS INITIALIZED
04/23/21   |   FRI   |   20:29:27   |   INF   |   FILE IS GENERATED WITH THE NAME METADATA.TXT
04/23/21   |   FRI   |   20:29:27   |   PAS   |   GENERATING FILES PROCESS COMPLETED
04/23/21   |   FRI   |   20:29:27   |   CHK   |   GENERAL METADATA PROCESS INITIALIZED
04/23/21   |   FRI   |   20:29:27   |   INF   |   ADDING GENERAL INFORMATION OF DATA IN METADATA
04/23/21   |   FRI   |   20:29:27   |   INF   |   ADDING DETAILED DESCRIPTION ABOUT DATA IN METADATA
04/23/21   |   FRI   |   20:29:28   |   PAS   |   GENERAL METADATA PROCESS COMPLETED
04/23/21   |   FRI   |   20:29:28   |   CHK   |   MISSING VALUE PROCESS INITIALIZED
04/23/21   |   FRI   |   20:29:28   |   INF   |   FINDING FEATURES HAVING MISSING FEATURES
04/23/21   |   FRI   |   20:29:28   |   INF   |   ADDING THE MISSING VALUES DETAILS IN METADATA
04/23/21   |   FRI   |   20:29:28   |   PAS   |   MISSING VALUE PROCESS COMPLETED
04/23/21   |   FRI   |   20:29:28   |   CHK   |   HANDLING MISSING VALUES PROCESS INITIALIZED
04/23/21   |   FRI   |   20:29:28   |   INF   |   LOTFRONTAGE HAS MISSING VALUES
04/23/21   |   FRI   |   20:29:28   |   INF   |   LOTFRONTAGE IS A CONTINUOUS FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   LOTFRONTAGE MISSING VALUES HANDLED BY IMPUTING MEAN OF A FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   MASVNRTYPE HAS MISSING VALUES
04/23/21   |   FRI   |   20:29:28   |   INF   |   MASVNRTYPE IS A CATEGORICAL FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   MASVNRTYPE MISSING VALUES HANDLED BY IMPUTED WITH FFILL METHOD
04/23/21   |   FRI   |   20:29:28   |   INF   |   MASVNRAREA HAS MISSING VALUES
04/23/21   |   FRI   |   20:29:28   |   INF   |   MASVNRAREA IS A CONTINUOUS FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   MASVNRAREA MISSING VALUES HANDLED BY IMPUTING MEAN OF A FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   BSMTQUAL HAS MISSING VALUES
04/23/21   |   FRI   |   20:29:28   |   INF   |   BSMTQUAL IS A CATEGORICAL FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   BSMTQUAL MISSING VALUES HANDLED BY IMPUTED WITH FFILL METHOD
04/23/21   |   FRI   |   20:29:28   |   INF   |   BSMTCOND HAS MISSING VALUES
04/23/21   |   FRI   |   20:29:28   |   INF   |   BSMTCOND IS A CATEGORICAL FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   BSMTCOND MISSING VALUES HANDLED BY IMPUTED WITH FFILL METHOD
04/23/21   |   FRI   |   20:29:28   |   INF   |   BSMTEXPOSURE HAS MISSING VALUES
04/23/21   |   FRI   |   20:29:28   |   INF   |   BSMTEXPOSURE IS A CATEGORICAL FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   BSMTEXPOSURE MISSING VALUES HANDLED BY IMPUTED WITH FFILL METHOD
04/23/21   |   FRI   |   20:29:28   |   INF   |   BSMTFINTYPE1 HAS MISSING VALUES
04/23/21   |   FRI   |   20:29:28   |   INF   |   BSMTFINTYPE1 IS A CATEGORICAL FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   BSMTFINTYPE1 MISSING VALUES HANDLED BY IMPUTED WITH FFILL METHOD
04/23/21   |   FRI   |   20:29:28   |   INF   |   BSMTFINTYPE2 HAS MISSING VALUES
04/23/21   |   FRI   |   20:29:28   |   INF   |   BSMTFINTYPE2 IS A CATEGORICAL FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   BSMTFINTYPE2 MISSING VALUES HANDLED BY IMPUTED WITH FFILL METHOD
04/23/21   |   FRI   |   20:29:28   |   INF   |   ELECTRICAL HAS MISSING VALUES
04/23/21   |   FRI   |   20:29:28   |   INF   |   ELECTRICAL IS A CATEGORICAL FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   ELECTRICAL MISSING VALUES HANDLED BY IMPUTED WITH FFILL METHOD
04/23/21   |   FRI   |   20:29:28   |   INF   |   FIREPLACEQU HAS MISSING VALUES
04/23/21   |   FRI   |   20:29:28   |   INF   |   FIREPLACEQU IS A CATEGORICAL FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   FIREPLACEQU MISSING VALUES HANDLED BY IMPUTED WITH FFILL METHOD
04/23/21   |   FRI   |   20:29:28   |   INF   |   GARAGETYPE HAS MISSING VALUES
04/23/21   |   FRI   |   20:29:28   |   INF   |   GARAGETYPE IS A CATEGORICAL FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   GARAGETYPE MISSING VALUES HANDLED BY IMPUTED WITH FFILL METHOD
04/23/21   |   FRI   |   20:29:28   |   INF   |   GARAGEYRBLT HAS MISSING VALUES
04/23/21   |   FRI   |   20:29:28   |   INF   |   GARAGEYRBLT IS A CONTINUOUS FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   GARAGEYRBLT MISSING VALUES HANDLED BY IMPUTING MEAN OF A FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   GARAGEFINISH HAS MISSING VALUES
04/23/21   |   FRI   |   20:29:28   |   INF   |   GARAGEFINISH IS A CATEGORICAL FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   GARAGEFINISH MISSING VALUES HANDLED BY IMPUTED WITH FFILL METHOD
04/23/21   |   FRI   |   20:29:28   |   INF   |   GARAGEQUAL HAS MISSING VALUES
04/23/21   |   FRI   |   20:29:28   |   INF   |   GARAGEQUAL IS A CATEGORICAL FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   GARAGEQUAL MISSING VALUES HANDLED BY IMPUTED WITH FFILL METHOD
04/23/21   |   FRI   |   20:29:28   |   INF   |   GARAGECOND HAS MISSING VALUES
04/23/21   |   FRI   |   20:29:28   |   INF   |   GARAGECOND IS A CATEGORICAL FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   GARAGECOND MISSING VALUES HANDLED BY IMPUTED WITH FFILL METHOD
04/23/21   |   FRI   |   20:29:28   |   INF   |   DATASET IS EXPORTED IN A INPUT DIRECTORY
04/23/21   |   FRI   |   20:29:28   |   PAS   |   HANDLING MISSING VALUES PROCESS COMPLETED
04/23/21   |   FRI   |   20:29:28   |   CHK   |   EXPORT TRANSFORMED DATA PROCESS INITIALIZED
04/23/21   |   FRI   |   20:29:28   |   CHK   |   EXPORTING TRANSFORMED DATA INTO .CSV FILE
04/23/21   |   FRI   |   20:29:28   |   PAS   |   EXPORTING TRANSFORMED DATA COMPLETED
04/23/21   |   FRI   |   20:29:28   |   PAS   |   EXPORT TRANSFORMED DATA PROCESS COMPLETED
04/23/21   |   FRI   |   20:29:28   |   END   |   EDA AND TRANSFORMATION MODULE COMPLETED
--------------------------------------------------------------------------------------------------------------

                                             PLOTS
--------------------------------------------------------------------------------------------------------------
04/23/21   |   FRI   |   20:29:28   |   BEG   |   PLOTS MODULE INITIALIZED
--------------------------------------------------------------------------------------------------------------
04/23/21   |   FRI   |   20:29:28   |   INF   |   DATA IS LOADING
04/23/21   |   FRI   |   20:29:28   |   CHK   |   GENERATING DIRECTORIES PROCESS INITIALIZED
04/23/21   |   FRI   |   20:29:28   |   INF   |   CREATING PLOTS DIRECTORY FOR PLOTS
04/23/21   |   FRI   |   20:29:28   |   CHK   |   CHECKING PREVIOUSLY ENCODED CATEGORICAL FEATURES
04/23/21   |   FRI   |   20:29:28   |   INF   |   OVERALLQUAL IS PREVIOUSLY ENCODED CATEGORICAL FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   OVERALLCOND IS PREVIOUSLY ENCODED CATEGORICAL FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   BSMTFULLBATH IS PREVIOUSLY ENCODED CATEGORICAL FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   BSMTHALFBATH IS PREVIOUSLY ENCODED CATEGORICAL FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   FULLBATH IS PREVIOUSLY ENCODED CATEGORICAL FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   HALFBATH IS PREVIOUSLY ENCODED CATEGORICAL FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   BEDROOMABVGR IS PREVIOUSLY ENCODED CATEGORICAL FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   KITCHENABVGR IS PREVIOUSLY ENCODED CATEGORICAL FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   FIREPLACES IS PREVIOUSLY ENCODED CATEGORICAL FEATURE
04/23/21   |   FRI   |   20:29:28   |   INF   |   GARAGECARS IS PREVIOUSLY ENCODED CATEGORICAL FEATURE
04/23/21   |   FRI   |   20:29:28   |   PAS   |   CHECKING PREVIOUSLY ENCODED CATEGORICAL FEATURE COMPLETED
04/23/21   |   FRI   |   20:29:28   |   PAS   |   GENERATING DIRECTORIES PROCESS COMPLETED
04/23/21   |   FRI   |   20:29:28   |   CHK   |   SCATTER PLOTS PROCESS INITIALIZED
04/23/21   |   FRI   |   20:29:28   |   INF   |   CREATING SCATTER_PLOT DIRECTORY FOR SCATTER PLOTS
04/23/21   |   FRI   |   20:29:35   |   PAS   |   SCATTER PLOTS PROCESS COMPLETED
04/23/21   |   FRI   |   20:29:35   |   CHK   |   BAR PLOT PROCESS INITIALIZED
04/23/21   |   FRI   |   20:29:35   |   INF   |   CREATING BAR_PLOT DIRECTORY FOR BAR PLOTS
04/23/21   |   FRI   |   20:29:46   |   PAS   |   BAR PLOTS PROCESS COMPLETED
04/23/21   |   FRI   |   20:29:46   |   CHK   |   PIE PLOTS PROCESS INITIALIZED
04/23/21   |   FRI   |   20:29:46   |   INF   |   CREATING A PIE PLOT DIRECTORY FOR PIE PLOTS
04/23/21   |   FRI   |   20:29:53   |   PAS   |   PIE PLOTS PROCESS COMPLTED
04/23/21   |   FRI   |   20:29:53   |   CHK   |   DIST PLOT PROCESS INITIALIZED
04/23/21   |   FRI   |   20:29:53   |   INF   |   CREATING A DISTRIBUTION PLOT DIRECTORY FOR DIST PLOT
04/23/21   |   FRI   |   20:30:01   |   PAS   |   DIST PLOTS PROCESS COMPLETED
04/23/21   |   FRI   |   20:30:01   |   CHK   |   BOX PLOT PROCESS INITIALIZED
04/23/21   |   FRI   |   20:30:01   |   INF   |   CREATING A BOX PLOT DIRECTORY FOR BOX PLOT
04/23/21   |   FRI   |   20:30:06   |   PAS   |   BOX PLOT INITIALIZED
04/23/21   |   FRI   |   20:30:06   |   PAS   |   PLOTS PROCESS COMPLETED
04/23/21   |   FRI   |   20:30:06   |   END   |   PLOTS MODULE COMPLETED
--------------------------------------------------------------------------------------------------------------

                                             DATA PREPROCESSING
--------------------------------------------------------------------------------------------------------------
04/23/21   |   FRI   |   20:30:06   |   BEG   |   DATA PREPROCESSING MODULE INITIALIZED
--------------------------------------------------------------------------------------------------------------
